Model,WDD,WVD
Amazon_Q_Developer,0.8823529412,6.588235294
Amazon_Q_Developer,0.5464480874,74.09471767
Amazon_Q_Developer,3.08411215,58.28037383
Amazon_Q_Developer,1.320754717,45.56603774
Amazon_Q_Developer,1.793478261,32.43478261
Amazon_Q_Developer,1.565217391,24.13043478
Amazon_Q_Developer,0,40.62923524
Amazon_Q_Developer,1.66481687,3.277469478
Amazon_Q_Developer,0,6.189035917
Amazon_Q_Developer,0,34.19677996
Anthropic_Claude,0,16.50505051
Anthropic_Claude,0,63.3573201
Anthropic_Claude,2.859618718,31.17331023
Anthropic_Claude,0.78125,32.34722222
Anthropic_Claude,5.128205128,10.70940171
Anthropic_Claude,0,11.36134454
Anthropic_Claude,0.2572898799,69.77186964
Anthropic_Claude,0.6550218341,0
Anthropic_Claude,0.8007117438,8.355871886
Anthropic_Claude,0.7761966365,34.58214748
ChatGPT,5.660377358,17.88679245
ChatGPT,0,39.08823529
ChatGPT,0,37.39525692
ChatGPT,0.8571428571,39.85714286
ChatGPT,4.6875,12.125
ChatGPT,0,9.470588235
ChatGPT,0.6134969325,97.8404908
ChatGPT,0,11.04651163
ChatGPT,0,11.51282051
ChatGPT,4.081632653,29.04081633
Gemini,1.351351351,8.45045045
Gemini,0.4901960784,57.59477124
Gemini,0.5338078292,37
Gemini,0.8021390374,37.40641711
Gemini,2.4,12.2
Gemini,5.714285714,15.61904762
Gemini,0.6,63.7
Gemini,0.6465517241,5
Gemini,1.492537313,26.48756219
Gemini,1.363636364,57.87878788
Github_Copilot,4.724409449,0
Github_Copilot,2.623906706,80.18658892
Github_Copilot,2.083333333,31.34722222
Github_Copilot,2.362204724,48.57480315
Github_Copilot,3.68852459,11.86885246
Github_Copilot,1.604278075,20.01069519
Github_Copilot,0.5395683453,71.52877698
Github_Copilot,0.8078994614,23.17953321
Github_Copilot,0,9.225490196
Github_Copilot,0,79.54639175
Mistral,1.5,17
Mistral,0.8241758242,54.60989011
Mistral,4.663212435,16.51813472
Mistral,2.475247525,42.99009901
Mistral,3.03030303,13.04040404
Mistral,0,11.2
Mistral,0.2952755906,69.77165354
Mistral,1.006711409,5
Mistral,2.739726027,9.141552511
Mistral,1.642335766,33.82481752